housing_type,price,size,price_per_sq,rooms,neighbourhood,website,date,lon,lat
mieszkanie,2200000,122.81,17913.85,4,Mokotów,Domiporta,23/10/2023,21.0457809,52.1939874
mieszkanie,1990000,108.21,18390.17,3,Mokotów,Domiporta,23/10/2023,21.0457809,52.1939874
mieszkanie,860000,64.0,13437.5,4,Mokotów,Domiporta,24/10/2023,21.0457809,52.1939874
mieszkanie,760000,61.5,12357.72,3,Mokotów,Domiporta,24/10/2023,21.0457809,52.1939874
mieszkanie,1420000,91.0,15604.4,3,Mokotów,Domiporta,24/10/2023,21.0457809,52.1939874
mieszkanie,799000,55.75,14331.84,2,Mokotów,Domiporta,24/10/2023,21.0457809,52.1939874
mieszkanie,570000,36.0,15833.33,2,Mokotów,Domiporta,24/10/2023,21.0457809,52.1939874
mieszkanie,850000,59.5,14285.71,2,Mokotów,Domiporta,24/10/2023,21.0457809,52.1939874
mieszkanie,790000,49.87,15841.19,3,Mokotów,Domiporta,24/10/2023,21.0457809,52.1939874
mieszkanie,1352910,69.38,19500.0,3,Mokotów,Domiporta,24/10/2023,21.0457809,52.1939874
mieszkanie,3000000,135.0,22222.0,5,Mokotów,Morizon,24/10/2023,21.0457809,52.1939874
mieszkanie,845000,50.0,16900.0,2,Mokotów,Morizon,24/10/2023,21.0457809,52.1939874
mieszkanie,4900000,173.66,28216.05,4,Mokotów,Domiporta,25/10/2023,21.0457809,52.1939874
mieszkanie,2250000,140.0,16071.43,4,Mokotów,Domiporta,25/10/2023,21.0457809,52.1939874
mieszkanie,6500000,252.0,25793.65,6,Mokotów,Domiporta,25/10/2023,21.0457809,52.1939874
mieszkanie,1540000,64.0,24062.5,3,Mokotów,Domiporta,25/10/2023,21.0457809,52.1939874
mieszkanie,1059000,56.7,18677.25,2,Mokotów,Domiporta,25/10/2023,21.0457809,52.1939874
mieszkanie,750000,37.0,20270.27,2,Mokotów,Domiporta,25/10/2023,21.0457809,52.1939874
mieszkanie,855000,42.92,19920.78,2,Mokotów,Domiporta,25/10/2023,21.0457809,52.1939874
mieszkanie,830000,40.75,20368.1,2,Mokotów,Domiporta,25/10/2023,21.0457809,52.1939874
mieszkanie,840000,56.0,14947.0,3,Mokotów,Morizon,26/10/2023,21.0457809,52.1939874
mieszkanie,1900000,107.0,17757.01,3,Mokotów,Domiporta,26/10/2023,21.0457809,52.1939874
mieszkanie,1200000,52.0,23076.92,2,Mokotów,Domiporta,26/10/2023,21.0457809,52.1939874
mieszkanie,1625000,145.1,11199.17,4,Mokotów,Domiporta,26/10/2023,21.0457809,52.1939874
mieszkanie,1350000,43.1,31322.51,2,Mokotów,Domiporta,26/10/2023,21.0457809,52.1939874
mieszkanie,3500000,135.6,25811.21,4,Mokotów,Domiporta,26/10/2023,21.0457809,52.1939874
mieszkanie,2780000,84.69,32825.6,3,Mokotów,Domiporta,26/10/2023,21.0457809,52.1939874
mieszkanie,3171960,97.8,32433.13,4,Mokotów,Domiporta,28/10/2023,21.0457809,52.1939874
mieszkanie,1450000,91.61,15827.97,4,Mokotów,Domiporta,30/10/2023,21.0457809,52.1939874
mieszkanie,2499000,136.3,18334.56,5,Mokotów,Domiporta,30/10/2023,21.0457809,52.1939874
mieszkanie,3348810,124.0,27006.53,4,Mokotów,Domiporta,30/10/2023,21.0457809,52.1939874
mieszkanie,5050000,168.58,29956.1,5,Mokotów,Domiporta,30/10/2023,21.0457809,52.1939874
mieszkanie,1980000,87.36,22664.84,3,Mokotów,Domiporta,30/10/2023,21.0457809,52.1939874
mieszkanie,950000,59.0,16101.69,2,Mokotów,Domiporta,30/10/2023,21.0457809,52.1939874
mieszkanie,840000,56.2,14946.62,3,Mokotów,Domiporta,30/10/2023,21.0457809,52.1939874
mieszkanie,459000,31.0,14806.45,1,Mokotów,Domiporta,30/10/2023,21.0457809,52.1939874
mieszkanie,2250000,113.0,19911.5,4,Mokotów,Domiporta,30/10/2023,21.0457809,52.1939874
mieszkanie,829000,47.5,17452.63,2,Mokotów,Domiporta,31/10/2023,21.0457809,52.1939874
mieszkanie,1420000,64.0,22187.5,2,Mokotów,Domiporta,31/10/2023,21.0457809,52.1939874
mieszkanie,996000,40.0,24900.0,2,Mokotów,Domiporta,31/10/2023,21.0457809,52.1939874
mieszkanie,2900000,282.0,10283.69,7,Mokotów,Domiporta,31/10/2023,21.0457809,52.1939874
mieszkanie,1899000,202.0,9400.99,5,Mokotów,Domiporta,31/10/2023,21.0457809,52.1939874
mieszkanie,610000,30.5,20000.0,1,Mokotów,Domiporta,31/10/2023,21.0457809,52.1939874
mieszkanie,1990000,146.46,13587.33,7,Mokotów,Domiporta,31/10/2023,21.0457809,52.1939874
mieszkanie,575000,37.5,15333.33,2,Mokotów,Domiporta,31/10/2023,21.0457809,52.1939874
mieszkanie,690000,38.0,18157.89,1,Mokotów,Domiporta,31/10/2023,21.0457809,52.1939874
mieszkanie,3400000,126.0,26984.13,4,Mokotów,Domiporta,31/10/2023,21.0457809,52.1939874
mieszkanie,1590000,74.0,21486.49,2,Mokotów,Domiporta,3/11/2023,21.0457809,52.1939874
mieszkanie,1680000,85.0,19569.0,2,Mokotów,Morizon,3/11/2023,21.0457809,52.1939874
