housing_type,price,size,price_per_sq,rooms,neighbourhood,website,date
mieszkanie,4200000,189.63,22148.39,5,Wilanów,Domiporta,4/11/2023
mieszkanie,779000,47.0,16574.47,2,Wola,Domiporta,4/11/2023
mieszkanie,610000,53.0,11509.43,3,Białołęka,Domiporta,4/11/2023
mieszkanie,649000,37.14,17474.42,2,Wola,Domiporta,4/11/2023
mieszkanie,599000,41.3,14503.63,2,Rembertów,Domiporta,4/11/2023
mieszkanie,890000,81.0,10987.65,3,Adama,Domiporta,4/11/2023
mieszkanie,550000,21.73,25310.63,1,Mokotów,Domiporta,4/11/2023
mieszkanie,3000000,135.0,22222.22,5,Mokotów,Domiporta,4/11/2023
mieszkanie,565000,54.0,10462.96,3,Targówek,Domiporta,4/11/2023
mieszkanie,720000,48.07,14978.16,3,Śródmieście,Domiporta,4/11/2023
mieszkanie,840000,56.2,14946.62,3,Mokotów,Domiporta,4/11/2023
mieszkanie,765000,73.68,10382.74,3,Fabryczna,Domiporta,4/11/2023
mieszkanie,650000,34.0,19117.65,2,Ursynów,Domiporta,4/11/2023
mieszkanie,699000,52.72,13258.73,2,Praga,Domiporta,4/11/2023
mieszkanie,770000,78.55,9802.67,3,Pawia,Domiporta,4/11/2023
mieszkanie,8900000,165.0,53939.39,4,Śródmieście,Domiporta,4/11/2023
mieszkanie,1270000,65.19,19481.52,3,Śródmieście,Domiporta,4/11/2023
mieszkanie,795000,60.46,13149.19,3,Białołęka,Domiporta,4/11/2023
mieszkanie,2200000,122.81,17913.85,4,Mokotów,Domiporta,4/11/2023
mieszkanie,890000,80.0,11125.0,4,Bielany,Domiporta,4/11/2023
mieszkanie,730000,62.0,11774.19,3,Praga,Domiporta,4/11/2023
mieszkanie,3960000,193.46,20469.35,5,Wilanów,Domiporta,4/11/2023
mieszkanie,1599000,87.0,18379.31,3,Wilanów,Domiporta,4/11/2023
mieszkanie,2767500,123.0,22500.0,4,Wilanów,Domiporta,4/11/2023
mieszkanie,2530000,115.0,22000.0,4,Wilanów,Domiporta,4/11/2023
mieszkanie,2000000,104.0,19230.77,4,Wilanów,Domiporta,4/11/2023
mieszkanie,1555000,85.0,18294.12,3,Mokotów,Domiporta,4/11/2023
mieszkanie,1950000,79.12,24646.11,4,Mokotów,Domiporta,4/11/2023
mieszkanie,3400000,126.0,26984.13,4,Mokotów,Domiporta,4/11/2023
mieszkanie,2200000,90.0,24444.44,3,Wilanów,Domiporta,4/11/2023
mieszkanie,3800000,186.35,20391.74,5,Wilanów,Domiporta,4/11/2023
mieszkanie,975000,49.6,19657.26,2,Wilanów,Domiporta,4/11/2023
mieszkanie,1250000,109.6,11405.11,4,Jeziorna,Domiporta,4/11/2023
mieszkanie,1240000,57.4,21602.79,2,Wilanów,Domiporta,4/11/2023
mieszkanie,2816250,112.65,25000.0,4,Wilanów,Domiporta,4/11/2023
mieszkanie,1795000,82.39,21786.62,4,Wilanów,Domiporta,4/11/2023
mieszkanie,4200000,189.63,22148.39,5,Wilanów,Domiporta,4/11/2023
mieszkanie,779000,47.0,16574.47,2,Wola,Domiporta,4/11/2023
mieszkanie,610000,53.0,11509.43,3,Białołęka,Domiporta,4/11/2023
mieszkanie,649000,37.14,17474.42,2,Wola,Domiporta,4/11/2023
mieszkanie,599000,41.3,14503.63,2,Rembertów,Domiporta,4/11/2023
mieszkanie,649000,52.0,12266.0,3,Ursynów,Morizon,4/11/2023
mieszkanie,1049000,79.0,13228.0,4,Praga-Południe,Morizon,4/11/2023
mieszkanie,1020000,53.0,19065.0,3,Służewiec,Morizon,4/11/2023
mieszkanie,670000,42.0,15952.0,2,Nowolipki,Morizon,4/11/2023
mieszkanie,839000,64.0,12928.0,3,Ursynów,Morizon,4/11/2023
mieszkanie,680000,62.0,10932.0,4,Niedźwiadek,Morizon,4/11/2023
mieszkanie,1100000,77.0,14286.0,3,Targówek,Morizon,4/11/2023
kawalerka,550000,21.0,25311.0,1,Mokotów,Morizon,4/11/2023
mieszkanie,840000,56.0,14947.0,3,Mokotów,Morizon,4/11/2023
mieszkanie,3000000,135.0,22222.0,5,Mokotów,Morizon,4/11/2023
mieszkanie,880000,50.0,17485.0,2,Muranów,Morizon,4/11/2023
mieszkanie,2000000,104.0,19231.0,5,Wilanów,Morizon,4/11/2023
mieszkanie,650000,34.0,19118.0,2,Ursynów,Morizon,4/11/2023
mieszkanie,1250000,47.0,26596.0,2,Śródmieście,Morizon,4/11/2023
mieszkanie,720000,48.0,14978.0,3,Śródmieście,Morizon,4/11/2023
mieszkanie,675000,40.0,16646.0,2,Wola,Morizon,4/11/2023
mieszkanie,1971156,106.0,18575.0,5,Ochota,Morizon,4/11/2023
mieszkanie,1650000,61.0,26829.0,2,Śródmieście,Morizon,4/11/2023
mieszkanie,468000,32.0,14625.0,2,Nowodwory,Morizon,4/11/2023
mieszkanie,911500,105.0,8644.0,4,Wawer,Morizon,4/11/2023
mieszkanie,1875000,75.0,25000.0,2,Śródmieście,Domiporta,6/11/2023
mieszkanie,980000,58.0,16896.55,3,Żoliborz,Domiporta,6/11/2023
mieszkanie,1900000,107.0,17757.01,3,Mokotów,Domiporta,6/11/2023
mieszkanie,4780000,186.0,25698.92,4,Żoliborz,Domiporta,6/11/2023
mieszkanie,463419,46.81,9900.0,3,Białołęka,Domiporta,6/11/2023
mieszkanie,514400,51.44,10000.0,3,Białołęka,Domiporta,6/11/2023
mieszkanie,572009,58.97,9700.0,3,Białołęka,Domiporta,6/11/2023
mieszkanie,599000,75.0,7986.67,0,Wawer,Domiporta,6/11/2023
mieszkanie,619000,74.6,8297.59,0,Wawer,Domiporta,6/11/2023
mieszkanie,599000,75.0,7986.67,0,Wawer,Domiporta,6/11/2023
mieszkanie,878400,60.27,14574.42,3,Praga,Domiporta,6/11/2023
mieszkanie,1110176,45.97,24150.01,2,Praga,Domiporta,6/11/2023
mieszkanie,2576700,98.16,26250.0,3,Praga,Domiporta,6/11/2023
mieszkanie,1608222,69.62,23100.0,3,Praga,Domiporta,6/11/2023
mieszkanie,4280700,112.65,38000.0,5,Praga,Domiporta,6/11/2023
mieszkanie,1875000,75.0,25000.0,2,Śródmieście,Domiporta,6/11/2023
mieszkanie,980000,58.0,16896.55,3,Żoliborz,Domiporta,6/11/2023
mieszkanie,1900000,107.0,17757.01,3,Mokotów,Domiporta,6/11/2023
